ID_NUMBER,MODEL_YEAR,MAKE_NAME,MODEL_NAME,TRIM_NAME,STYLE_NAME,ODOMETER,PRICE,CITY,STATE,ZIP_CODE,AD_DATE,0day PRCP,0day Fog,0day Heavy fog,0day Thunder,0day Hail,0day Smoke,0day High winds,7day PRCP,7day Fog,7day Heavy fog,7day Thunder,7day Hail,7day Smoke,7day High winds,15day PRCP,15day Fog,15day Heavy fog,15day Thunder,15day Hail,15day Smoke,15day High winds,30day PRCP,30day Fog,30day Heavy fog,30day Thunder,30day Hail,30day Smoke,30day High winds
2,2011,TOYOTA,COROLLA,S,AUTOMATIC,120030,6495,JACKSONVILLE,FL,32244,1/19/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
10084,2020,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,5922,18997,MORROW,GA,30287,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4,2017,HONDA,ACCORD SEDAN,EX-L,AUTO PZEV,48199,16991,MIAMI,FL,33134,1/13/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5,2018,HONDA,ACCORD SEDAN,SPORT,W/CONTINUOUSLY VARIABLE TRANSMISSION,64470,18000,TAMPA,FL,33612,1/6/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.52,0,0,0,0,0,0
6,2018,HONDA,ACCORD SEDAN,SPORT,W/CONTINUOUSLY VARIABLE TRANSMISSION,30769,19760,SAINT PETERSBURG,FL,33713,3/3/2021,0.05,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.94,0,0,0,0,0,0
2200,2020,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,23025,17995,UNION CITY,GA,30291,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
8,2017,HONDA,ACCORD SEDAN,SPORT SE,W/CONTINUOUSLY VARIABLE TRANSMISSION PZEV,44140,13998,MIAMI,FL,33157,3/3/2021,0.0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.0,0,0,0,0,0,0
9,2015,TOYOTA,COROLLA,L,AUTOMATIC,72356,11147,LUTZ,FL,33559,3/13/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4080,2018,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,36539,14995,UNION CITY,GA,30291,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
11,2016,TOYOTA,COROLLA,L,AUTOMATIC,54561,10881,JACKSONVILLE,FL,32211,1/23/2021,0.58,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0.0,0,0,0,0,0,0
8919,2017,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,17950,14699,UNION CITY,GA,30291,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
9448,2017,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,17937,14999,UNION CITY,GA,30291,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
10790,2017,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,17950,14999,UNION CITY,GA,30291,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
11629,2017,FORD,ESCAPE,SE,FWD,31735,15989,UNION CITY,GA,30291,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
16,2014,FORD,ESCAPE,SE,FWD,120978,10900,CUMMING,GA,30040,8/18/2021,1.42,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.03,0,0,0,0,0,0,0.08,0,0,0,0,0,0
17,2016,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,58318,10800,WEST PALM BEACH,FL,33411,2/25/2021,0.0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
12243,2017,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,17937,16989,UNION CITY,GA,30291,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
19,2017,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,25573,11944,MIAMI,FL,33157,3/26/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.29,0,0,0,0,0,0
20,2017,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,23371,12937,MIAMI,FL,33157,3/26/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.29,0,0,0,0,0,0
22,2014,TOYOTA,COROLLA,S PLUS,MANUAL,116862,10395,SAINT PETERSBURG,FL,33713,5/21/2021,0.0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
23,2018,FORD,ESCAPE,SE,FWD,24102,28988,OCALA,FL,34470,8/20/2021,0.0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0,0,0,0,0
24,2014,FORD,ESCAPE,TITANIUM,FWD,82718,16590,ORANGE CITY,FL,32763,8/11/2021,0.01,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
14336,2017,HONDA,ACCORD SEDAN,SPORT,W/CONTINUOUSLY VARIABLE TRANSMISSION,44625,18876,ALBANY,GA,31705,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
26,2019,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,48221,17989,POMPANO BEACH,FL,33063,10/22/2021,0.01,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.08,0,0,0,0,0,0
27,2018,HONDA,ACCORD SEDAN,LX,W/CONTINUOUSLY VARIABLE TRANSMISSION,45772,21593,WESLEY CHAPEL,FL,33543,8/7/2021,0.0,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0,0,1,0,0,0,0.11,0,0,0,0,0,0
1098,2020,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,10857,16741,WINTER PARK,FL,32789,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4851,2020,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,10857,15994,WINTER PARK,FL,32789,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
30,2011,HONDA,ACCORD SEDAN,EX-L,AUTOMATIC,116214,9831,FORT PIERCE,FL,34982,5/20/2021,0.06,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.65,0,0,0,0,0,0
5877,2017,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,59439,10976,WINTER PARK,FL,32789,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
32,2020,TOYOTA,COROLLA,L,W/CONTINUOUSLY VARIABLE TRANSMISSION,35691,21339,FORT PIERCE,FL,34982,10/19/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
11716,2020,TOYOTA,COROLLA,SE,W/CONTINUOUSLY VARIABLE TRANSMISSION,10908,15994,WINTER PARK,FL,32789,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
34,2013,FORD,ESCAPE,SE,FWD,82676,9477,SARASOTA,FL,34231,10/27/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.13,0,0,0,0,0,0
1416,2018,HONDA,ACCORD SEDAN,LX,W/CONTINUOUSLY VARIABLE TRANSMISSION,29381,17991,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1457,2019,HONDA,ACCORD SEDAN,EX,W/CONTINUOUSLY VARIABLE TRANSMISSION,25570,21895,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1739,2017,FORD,ESCAPE,SE,FWD,36824,14491,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
1740,2017,FORD,ESCAPE,SE,FWD,69518,12700,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
2194,2020,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,29198,13688,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
4130,2019,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,51612,11488,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
41,2018,HONDA,ACCORD SEDAN,EX-L,W/CONTINUOUSLY VARIABLE TRANSMISSION,26063,31991,SAVANNAH,GA,31406,8/2/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.47,0,0,0,0,0,0
42,2017,TOYOTA,COROLLA,L,W/CONTINUOUSLY VARIABLE TRANSMISSION,114596,16495,GAINESVILLE,FL,32601,8/20/2021,0.64,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0.04,0,0,0,0,0,0
43,2018,FORD,ESCAPE,SE,4WD,27813,23222,TAMPA,FL,33619,12/28/2021,0.0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
5686,2019,HONDA,ACCORD SEDAN,LX,W/CONTINUOUSLY VARIABLE TRANSMISSION,32769,18455,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
6368,2019,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,51612,10895,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
46,2018,FORD,ESCAPE,SE,4WD,6994,29988,OCALA,FL,34470,7/23/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0.2,0,0,0,0,0,0
47,2019,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,42349,13797,BUFORD,GA,30519,2/26/2021,0.53,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.47,0,0,0,0,0,0
7439,2017,FORD,ESCAPE,SE,FWD,36824,14273,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
49,2018,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,55475,13499,JACKSONVILLE,FL,32244,3/16/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0.24,0,0,0,0,0,0
7745,2019,HONDA,ACCORD SEDAN,SPORT,W/CONTINUOUSLY VARIABLE TRANSMISSION,9958,21995,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
8737,2016,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,52994,11586,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
52,2015,HONDA,ACCORD SEDAN,LX,W/CONTINUOUSLY VARIABLE TRANSMISSION,40250,14333,PORT RICHEY,FL,34668,2/27/2021,0.0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
10096,2020,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,29198,13595,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
54,2017,TOYOTA,COROLLA,LE,W/CONTINUOUSLY VARIABLE TRANSMISSION,54468,10198,MIAMI,FL,33157,1/25/2021,0.0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
55,2016,HONDA,ACCORD SEDAN,EX-L,W/CONTINUOUSLY VARIABLE TRANSMISSION PZEV,70755,13990,POMPANO BEACH,FL,33064,1/22/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
10650,2019,HONDA,ACCORD SEDAN,LX,W/CONTINUOUSLY VARIABLE TRANSMISSION,32720,18773,ORLANDO,FL,32808,1/1/2021,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
